,protocol,feature
169,eth:ethertype:ip:icmp:data,icmp.seq
170,eth:ethertype:ip:icmp:data,icmp.seq_le
171,eth:ethertype:ip:icmp:data,icmp.type
172,eth:ethertype:ip:icmp:data,ip.addr
173,eth:ethertype:ip:icmp:data,ip.checksum
174,eth:ethertype:ip:icmp:data,ip.checksum.status
175,eth:ethertype:ip:icmp:data,ip.dsfield
176,eth:ethertype:ip:icmp:data,ip.dsfield.dscp
177,eth:ethertype:ip:icmp:data,ip.dsfield.ecn
178,eth:ethertype:ip:icmp:data,ip.dst
179,eth:ethertype:ip:icmp:data,ip.dst_host
180,eth:ethertype:ip:icmp:data,ip.flags
181,eth:ethertype:ip:icmp:data,ip.flags.df
182,eth:ethertype:ip:icmp:data,ip.flags.mf
183,eth:ethertype:ip:icmp:data,ip.flags.rb
184,eth:ethertype:ip:icmp:data,ip.frag_offset
185,eth:ethertype:ip:icmp:data,ip.hdr_len
186,eth:ethertype:ip:icmp:data,ip.host
187,eth:ethertype:ip:icmp:data,ip.id
188,eth:ethertype:ip:icmp:data,ip.len
189,eth:ethertype:ip:icmp:data,ip.proto
190,eth:ethertype:ip:icmp:data,ip.src
191,eth:ethertype:ip:icmp:data,ip.src_host
192,eth:ethertype:ip:icmp:data,ip.ttl
193,eth:ethertype:ip:icmp:data,ip.version
,eth:ethertype:ip:icmp:ip:udp,Label
194,eth:ethertype:ip:icmp:ip:udp,_ws.expert.group
195,eth:ethertype:ip:icmp:ip:udp,_ws.expert.message
196,eth:ethertype:ip:icmp:ip:udp,_ws.expert.severity
197,eth:ethertype:ip:icmp:ip:udp,eth.addr
198,eth:ethertype:ip:icmp:ip:udp,eth.addr.oui
199,eth:ethertype:ip:icmp:ip:udp,eth.addr.oui_resolved
200,eth:ethertype:ip:icmp:ip:udp,eth.addr_resolved
201,eth:ethertype:ip:icmp:ip:udp,eth.dst
202,eth:ethertype:ip:icmp:ip:udp,eth.dst.ig
203,eth:ethertype:ip:icmp:ip:udp,eth.dst.lg
204,eth:ethertype:ip:icmp:ip:udp,eth.dst.oui
205,eth:ethertype:ip:icmp:ip:udp,eth.dst.oui_resolved
206,eth:ethertype:ip:icmp:ip:udp,eth.dst_resolved
207,eth:ethertype:ip:icmp:ip:udp,eth.ig
208,eth:ethertype:ip:icmp:ip:udp,eth.lg
209,eth:ethertype:ip:icmp:ip:udp,eth.src
210,eth:ethertype:ip:icmp:ip:udp,eth.src.ig
211,eth:ethertype:ip:icmp:ip:udp,eth.src.lg
212,eth:ethertype:ip:icmp:ip:udp,eth.src.oui
213,eth:ethertype:ip:icmp:ip:udp,eth.src.oui_resolved
214,eth:ethertype:ip:icmp:ip:udp,eth.src_resolved
215,eth:ethertype:ip:icmp:ip:udp,eth.type
216,eth:ethertype:ip:icmp:ip:udp,frame.cap_len
217,eth:ethertype:ip:icmp:ip:udp,frame.encap_type
218,eth:ethertype:ip:icmp:ip:udp,frame.ignored
219,eth:ethertype:ip:icmp:ip:udp,frame.interface_id
220,eth:ethertype:ip:icmp:ip:udp,frame.interface_name
221,eth:ethertype:ip:icmp:ip:udp,frame.len
222,eth:ethertype:ip:icmp:ip:udp,frame.marked
223,eth:ethertype:ip:icmp:ip:udp,frame.number
224,eth:ethertype:ip:icmp:ip:udp,frame.offset_shift
225,eth:ethertype:ip:icmp:ip:udp,frame.protocols
226,eth:ethertype:ip:icmp:ip:udp,frame.section_number
227,eth:ethertype:ip:icmp:ip:udp,frame.time
228,eth:ethertype:ip:icmp:ip:udp,frame.time_delta
229,eth:ethertype:ip:icmp:ip:udp,frame.time_delta_displayed
230,eth:ethertype:ip:icmp:ip:udp,frame.time_epoch
231,eth:ethertype:ip:icmp:ip:udp,frame.time_relative
232,eth:ethertype:ip:icmp:ip:udp,frame.time_utc
233,eth:ethertype:ip:icmp:ip:udp,icmp.checksum
234,eth:ethertype:ip:icmp:ip:udp,icmp.checksum.status
235,eth:ethertype:ip:icmp:ip:udp,icmp.code
236,eth:ethertype:ip:icmp:ip:udp,icmp.type
237,eth:ethertype:ip:icmp:ip:udp,icmp.unused
238,eth:ethertype:ip:icmp:ip:udp,ip.addr
239,eth:ethertype:ip:icmp:ip:udp,ip.checksum
240,eth:ethertype:ip:icmp:ip:udp,ip.checksum.status
241,eth:ethertype:ip:icmp:ip:udp,ip.dsfield
242,eth:ethertype:ip:icmp:ip:udp,ip.dsfield.dscp
243,eth:ethertype:ip:icmp:ip:udp,ip.dsfield.ecn
244,eth:ethertype:ip:icmp:ip:udp,ip.dst
245,eth:ethertype:ip:icmp:ip:udp,ip.dst_host
246,eth:ethertype:ip:icmp:ip:udp,ip.flags
247,eth:ethertype:ip:icmp:ip:udp,ip.flags.df
248,eth:ethertype:ip:icmp:ip:udp,ip.flags.mf
249,eth:ethertype:ip:icmp:ip:udp,ip.flags.rb
250,eth:ethertype:ip:icmp:ip:udp,ip.frag_offset
251,eth:ethertype:ip:icmp:ip:udp,ip.hdr_len
252,eth:ethertype:ip:icmp:ip:udp,ip.host
253,eth:ethertype:ip:icmp:ip:udp,ip.id
254,eth:ethertype:ip:icmp:ip:udp,ip.len
255,eth:ethertype:ip:icmp:ip:udp,ip.proto
256,eth:ethertype:ip:icmp:ip:udp,ip.src
257,eth:ethertype:ip:icmp:ip:udp,ip.src_host
258,eth:ethertype:ip:icmp:ip:udp,ip.ttl
259,eth:ethertype:ip:icmp:ip:udp,ip.version
260,eth:ethertype:ip:icmp:ip:udp,udp.checksum
261,eth:ethertype:ip:icmp:ip:udp,udp.checksum.status
262,eth:ethertype:ip:icmp:ip:udp,udp.dstport
263,eth:ethertype:ip:icmp:ip:udp,udp.length
264,eth:ethertype:ip:icmp:ip:udp,udp.port
265,eth:ethertype:ip:icmp:ip:udp,udp.possible_traceroute
266,eth:ethertype:ip:icmp:ip:udp,udp.srcport
267,eth:ethertype:ip:icmp:ip:udp,udp.stream
,eth:ethertype:ip:icmp:ip:udp:data,Label
268,eth:ethertype:ip:icmp:ip:udp:data,data.data
269,eth:ethertype:ip:icmp:ip:udp:data,data.len
270,eth:ethertype:ip:icmp:ip:udp:data,eth.addr
271,eth:ethertype:ip:icmp:ip:udp:data,eth.addr.oui
272,eth:ethertype:ip:icmp:ip:udp:data,eth.addr.oui_resolved
273,eth:ethertype:ip:icmp:ip:udp:data,eth.addr_resolved
274,eth:ethertype:ip:icmp:ip:udp:data,eth.dst
275,eth:ethertype:ip:icmp:ip:udp:data,eth.dst.ig
276,eth:ethertype:ip:icmp:ip:udp:data,eth.dst.lg
277,eth:ethertype:ip:icmp:ip:udp:data,eth.dst.oui
278,eth:ethertype:ip:icmp:ip:udp:data,eth.dst.oui_resolved
279,eth:ethertype:ip:icmp:ip:udp:data,eth.dst_resolved
280,eth:ethertype:ip:icmp:ip:udp:data,eth.ig
281,eth:ethertype:ip:icmp:ip:udp:data,eth.lg
282,eth:ethertype:ip:icmp:ip:udp:data,eth.src
283,eth:ethertype:ip:icmp:ip:udp:data,eth.src.ig
284,eth:ethertype:ip:icmp:ip:udp:data,eth.src.lg
285,eth:ethertype:ip:icmp:ip:udp:data,eth.src.oui
286,eth:ethertype:ip:icmp:ip:udp:data,eth.src.oui_resolved
287,eth:ethertype:ip:icmp:ip:udp:data,eth.src_resolved
288,eth:ethertype:ip:icmp:ip:udp:data,eth.type
289,eth:ethertype:ip:icmp:ip:udp:data,frame.cap_len
290,eth:ethertype:ip:icmp:ip:udp:data,frame.encap_type
291,eth:ethertype:ip:icmp:ip:udp:data,frame.ignored
292,eth:ethertype:ip:icmp:ip:udp:data,frame.interface_id
293,eth:ethertype:ip:icmp:ip:udp:data,frame.interface_name
294,eth:ethertype:ip:icmp:ip:udp:data,frame.len
295,eth:ethertype:ip:icmp:ip:udp:data,frame.marked
296,eth:ethertype:ip:icmp:ip:udp:data,frame.number
297,eth:ethertype:ip:icmp:ip:udp:data,frame.offset_shift
298,eth:ethertype:ip:icmp:ip:udp:data,frame.protocols
299,eth:ethertype:ip:icmp:ip:udp:data,frame.section_number
300,eth:ethertype:ip:icmp:ip:udp:data,frame.time
301,eth:ethertype:ip:icmp:ip:udp:data,frame.time_delta
302,eth:ethertype:ip:icmp:ip:udp:data,frame.time_delta_displayed
303,eth:ethertype:ip:icmp:ip:udp:data,frame.time_epoch
304,eth:ethertype:ip:icmp:ip:udp:data,frame.time_relative
305,eth:ethertype:ip:icmp:ip:udp:data,frame.time_utc
306,eth:ethertype:ip:icmp:ip:udp:data,icmp.checksum
307,eth:ethertype:ip:icmp:ip:udp:data,icmp.checksum.status
308,eth:ethertype:ip:icmp:ip:udp:data,icmp.code
309,eth:ethertype:ip:icmp:ip:udp:data,icmp.type
310,eth:ethertype:ip:icmp:ip:udp:data,icmp.unused
311,eth:ethertype:ip:icmp:ip:udp:data,ip.addr
312,eth:ethertype:ip:icmp:ip:udp:data,ip.checksum
313,eth:ethertype:ip:icmp:ip:udp:data,ip.checksum.status
314,eth:ethertype:ip:icmp:ip:udp:data,ip.dsfield
315,eth:ethertype:ip:icmp:ip:udp:data,ip.dsfield.dscp
316,eth:ethertype:ip:icmp:ip:udp:data,ip.dsfield.ecn
317,eth:ethertype:ip:icmp:ip:udp:data,ip.dst
318,eth:ethertype:ip:icmp:ip:udp:data,ip.dst_host
319,eth:ethertype:ip:icmp:ip:udp:data,ip.flags
320,eth:ethertype:ip:icmp:ip:udp:data,ip.flags.df
321,eth:ethertype:ip:icmp:ip:udp:data,ip.flags.mf
322,eth:ethertype:ip:icmp:ip:udp:data,ip.flags.rb
323,eth:ethertype:ip:icmp:ip:udp:data,ip.frag_offset
324,eth:ethertype:ip:icmp:ip:udp:data,ip.hdr_len
325,eth:ethertype:ip:icmp:ip:udp:data,ip.host
326,eth:ethertype:ip:icmp:ip:udp:data,ip.id
327,eth:ethertype:ip:icmp:ip:udp:data,ip.len
328,eth:ethertype:ip:icmp:ip:udp:data,ip.proto
329,eth:ethertype:ip:icmp:ip:udp:data,ip.src
330,eth:ethertype:ip:icmp:ip:udp:data,ip.src_host
331,eth:ethertype:ip:icmp:ip:udp:data,ip.ttl
332,eth:ethertype:ip:icmp:ip:udp:data,ip.version
333,eth:ethertype:ip:icmp:ip:udp:data,udp.checksum
334,eth:ethertype:ip:icmp:ip:udp:data,udp.checksum.status
335,eth:ethertype:ip:icmp:ip:udp:data,udp.dstport
336,eth:ethertype:ip:icmp:ip:udp:data,udp.length
337,eth:ethertype:ip:icmp:ip:udp:data,udp.payload
338,eth:ethertype:ip:icmp:ip:udp:data,udp.port
339,eth:ethertype:ip:icmp:ip:udp:data,udp.srcport
340,eth:ethertype:ip:icmp:ip:udp:data,udp.stream
,eth:ethertype:ip:icmp:ip:udp:dns,Label
341,eth:ethertype:ip:icmp:ip:udp:dns,Answers
342,eth:ethertype:ip:icmp:ip:udp:dns,dns.count.add_rr
343,eth:ethertype:ip:icmp:ip:udp:dns,dns.count.answers
344,eth:ethertype:ip:icmp:ip:udp:dns,dns.count.auth_rr
345,eth:ethertype:ip:icmp:ip:udp:dns,dns.count.labels
346,eth:ethertype:ip:icmp:ip:udp:dns,dns.count.queries
347,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags
348,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.authenticated
349,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.authoritative
350,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.checkdisable
351,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.opcode
352,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.rcode
353,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.recavail
354,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.recdesired
355,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.response
356,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.truncated
357,eth:ethertype:ip:icmp:ip:udp:dns,dns.flags.z
358,eth:ethertype:ip:icmp:ip:udp:dns,dns.id
359,eth:ethertype:ip:icmp:ip:udp:dns,dns.qry.class
360,eth:ethertype:ip:icmp:ip:udp:dns,dns.qry.name
361,eth:ethertype:ip:icmp:ip:udp:dns,dns.qry.name.len
362,eth:ethertype:ip:icmp:ip:udp:dns,dns.qry.type
363,eth:ethertype:ip:icmp:ip:udp:dns,eth.addr
364,eth:ethertype:ip:icmp:ip:udp:dns,eth.addr.oui
365,eth:ethertype:ip:icmp:ip:udp:dns,eth.addr.oui_resolved
366,eth:ethertype:ip:icmp:ip:udp:dns,eth.addr_resolved
367,eth:ethertype:ip:icmp:ip:udp:dns,eth.dst
368,eth:ethertype:ip:icmp:ip:udp:dns,eth.dst.ig
369,eth:ethertype:ip:icmp:ip:udp:dns,eth.dst.lg
370,eth:ethertype:ip:icmp:ip:udp:dns,eth.dst.oui
371,eth:ethertype:ip:icmp:ip:udp:dns,eth.dst.oui_resolved
372,eth:ethertype:ip:icmp:ip:udp:dns,eth.dst_resolved
373,eth:ethertype:ip:icmp:ip:udp:dns,eth.ig
374,eth:ethertype:ip:icmp:ip:udp:dns,eth.lg
375,eth:ethertype:ip:icmp:ip:udp:dns,eth.src
376,eth:ethertype:ip:icmp:ip:udp:dns,eth.src.ig
377,eth:ethertype:ip:icmp:ip:udp:dns,eth.src.lg
378,eth:ethertype:ip:icmp:ip:udp:dns,eth.src.oui
379,eth:ethertype:ip:icmp:ip:udp:dns,eth.src.oui_resolved
380,eth:ethertype:ip:icmp:ip:udp:dns,eth.src_resolved
381,eth:ethertype:ip:icmp:ip:udp:dns,eth.type
382,eth:ethertype:ip:icmp:ip:udp:dns,frame.cap_len
383,eth:ethertype:ip:icmp:ip:udp:dns,frame.encap_type
384,eth:ethertype:ip:icmp:ip:udp:dns,frame.ignored
385,eth:ethertype:ip:icmp:ip:udp:dns,frame.interface_id
386,eth:ethertype:ip:icmp:ip:udp:dns,frame.interface_name
387,eth:ethertype:ip:icmp:ip:udp:dns,frame.len
388,eth:ethertype:ip:icmp:ip:udp:dns,frame.marked
389,eth:ethertype:ip:icmp:ip:udp:dns,frame.number
390,eth:ethertype:ip:icmp:ip:udp:dns,frame.offset_shift
391,eth:ethertype:ip:icmp:ip:udp:dns,frame.protocols
392,eth:ethertype:ip:icmp:ip:udp:dns,frame.section_number
393,eth:ethertype:ip:icmp:ip:udp:dns,frame.time
394,eth:ethertype:ip:icmp:ip:udp:dns,frame.time_delta
395,eth:ethertype:ip:icmp:ip:udp:dns,frame.time_delta_displayed
396,eth:ethertype:ip:icmp:ip:udp:dns,frame.time_epoch
397,eth:ethertype:ip:icmp:ip:udp:dns,frame.time_relative
398,eth:ethertype:ip:icmp:ip:udp:dns,frame.time_utc
399,eth:ethertype:ip:icmp:ip:udp:dns,icmp.checksum
400,eth:ethertype:ip:icmp:ip:udp:dns,icmp.checksum.status
401,eth:ethertype:ip:icmp:ip:udp:dns,icmp.code
402,eth:ethertype:ip:icmp:ip:udp:dns,icmp.type
403,eth:ethertype:ip:icmp:ip:udp:dns,icmp.unused
404,eth:ethertype:ip:icmp:ip:udp:dns,ip.addr
405,eth:ethertype:ip:icmp:ip:udp:dns,ip.checksum
406,eth:ethertype:ip:icmp:ip:udp:dns,ip.checksum.status
407,eth:ethertype:ip:icmp:ip:udp:dns,ip.dsfield
408,eth:ethertype:ip:icmp:ip:udp:dns,ip.dsfield.dscp
409,eth:ethertype:ip:icmp:ip:udp:dns,ip.dsfield.ecn
410,eth:ethertype:ip:icmp:ip:udp:dns,ip.dst
411,eth:ethertype:ip:icmp:ip:udp:dns,ip.dst_host
412,eth:ethertype:ip:icmp:ip:udp:dns,ip.flags
413,eth:ethertype:ip:icmp:ip:udp:dns,ip.flags.df
414,eth:ethertype:ip:icmp:ip:udp:dns,ip.flags.mf
415,eth:ethertype:ip:icmp:ip:udp:dns,ip.flags.rb
416,eth:ethertype:ip:icmp:ip:udp:dns,ip.frag_offset
417,eth:ethertype:ip:icmp:ip:udp:dns,ip.hdr_len
418,eth:ethertype:ip:icmp:ip:udp:dns,ip.host
419,eth:ethertype:ip:icmp:ip:udp:dns,ip.id
420,eth:ethertype:ip:icmp:ip:udp:dns,ip.len
421,eth:ethertype:ip:icmp:ip:udp:dns,ip.proto
422,eth:ethertype:ip:icmp:ip:udp:dns,ip.src
423,eth:ethertype:ip:icmp:ip:udp:dns,ip.src_host
424,eth:ethertype:ip:icmp:ip:udp:dns,ip.ttl
425,eth:ethertype:ip:icmp:ip:udp:dns,ip.version
426,eth:ethertype:ip:icmp:ip:udp:dns,udp.checksum
427,eth:ethertype:ip:icmp:ip:udp:dns,udp.checksum.status
428,eth:ethertype:ip:icmp:ip:udp:dns,udp.dstport
429,eth:ethertype:ip:icmp:ip:udp:dns,udp.length
430,eth:ethertype:ip:icmp:ip:udp:dns,udp.payload
431,eth:ethertype:ip:icmp:ip:udp:dns,udp.port
432,eth:ethertype:ip:icmp:ip:udp:dns,udp.srcport
433,eth:ethertype:ip:icmp:ip:udp:dns,udp.stream
,eth:ethertype:ip:igmp:igmp,Label
434,eth:ethertype:ip:igmp:igmp,eth.addr
435,eth:ethertype:ip:igmp:igmp,eth.addr.oui
436,eth:ethertype:ip:igmp:igmp,eth.addr.oui_resolved
437,eth:ethertype:ip:igmp:igmp,eth.addr_resolved
438,eth:ethertype:ip:igmp:igmp,eth.dst
439,eth:ethertype:ip:igmp:igmp,eth.dst.ig
440,eth:ethertype:ip:igmp:igmp,eth.dst.lg
441,eth:ethertype:ip:igmp:igmp,eth.dst.oui
442,eth:ethertype:ip:igmp:igmp,eth.dst.oui_resolved
443,eth:ethertype:ip:igmp:igmp,eth.dst_resolved
444,eth:ethertype:ip:igmp:igmp,eth.ig
445,eth:ethertype:ip:igmp:igmp,eth.lg
446,eth:ethertype:ip:igmp:igmp,eth.src
447,eth:ethertype:ip:igmp:igmp,eth.src.ig
448,eth:ethertype:ip:igmp:igmp,eth.src.lg
449,eth:ethertype:ip:igmp:igmp,eth.src.oui
450,eth:ethertype:ip:igmp:igmp,eth.src.oui_resolved
451,eth:ethertype:ip:igmp:igmp,eth.src_resolved
452,eth:ethertype:ip:igmp:igmp,eth.type
453,eth:ethertype:ip:igmp:igmp,frame.cap_len
454,eth:ethertype:ip:igmp:igmp,frame.encap_type
455,eth:ethertype:ip:igmp:igmp,frame.ignored
456,eth:ethertype:ip:igmp:igmp,frame.interface_id
457,eth:ethertype:ip:igmp:igmp,frame.interface_name
458,eth:ethertype:ip:igmp:igmp,frame.len
459,eth:ethertype:ip:igmp:igmp,frame.marked
460,eth:ethertype:ip:igmp:igmp,frame.number
461,eth:ethertype:ip:igmp:igmp,frame.offset_shift
462,eth:ethertype:ip:igmp:igmp,frame.protocols
463,eth:ethertype:ip:igmp:igmp,frame.section_number
464,eth:ethertype:ip:igmp:igmp,frame.time
465,eth:ethertype:ip:igmp:igmp,frame.time_delta
466,eth:ethertype:ip:igmp:igmp,frame.time_delta_displayed
467,eth:ethertype:ip:igmp:igmp,frame.time_epoch
468,eth:ethertype:ip:igmp:igmp,frame.time_relative
469,eth:ethertype:ip:igmp:igmp,frame.time_utc
470,eth:ethertype:ip:igmp:igmp,igmp.checksum
471,eth:ethertype:ip:igmp:igmp,igmp.checksum.status
472,eth:ethertype:ip:igmp:igmp,igmp.maddr
473,eth:ethertype:ip:igmp:igmp,igmp.max_resp
474,eth:ethertype:ip:igmp:igmp,igmp.type
475,eth:ethertype:ip:igmp:igmp,igmp.version
